[2026-05-09 21:56:07] [INFO] [SimulationController] Simulation completed for model id=4 | action=runSimulation
[2026-05-09 21:56:10] [INFO] [SimulationController] Running simulation for model id=4 | action=runSimulation
[2026-05-09 21:56:11] [INFO] [SimulationController] Simulation completed for model id=4 | action=runSimulation
[2026-05-09 21:56:24] [INFO] [SimulationController] Running simulation for model id=4 | action=runSimulation
[2026-05-09 21:56:24] [INFO] [SimulationController] Simulation completed for model id=4 | action=runSimulation
[2026-05-09 21:56:30] [INFO] [SimulationController] Running simulation for model id=4 | action=runSimulation
[2026-05-09 21:56:30] [INFO] [SimulationController] Simulation completed for model id=4 | action=runSimulation
[2026-05-09 21:57:39] [INFO] [TaskService] Task id=4 time logged: 60 min | action=logTime
[2026-05-09 21:58:29] [INFO] [KpiService] Starting scheduled KPI recalculation | action=scheduledRecalculate
[2026-05-09 21:58:29] [INFO] [KpiService] KPI recalculation complete | action=scheduledRecalculate
[2026-05-09 21:59:52] [INFO] [AuthController] User logged in: admin | action=login
[2026-05-09 22:03:29] [INFO] [KpiService] Starting scheduled KPI recalculation | action=scheduledRecalculate
[2026-05-09 22:03:29] [INFO] [KpiService] KPI recalculation complete | action=scheduledRecalculate
[2026-05-09 22:05:37] [INFO] [KpiService] Starting scheduled KPI recalculation | action=scheduledRecalculate
[2026-05-09 22:05:37] [INFO] [KpiService] KPI recalculation complete | action=scheduledRecalculate
[2026-05-09 22:05:40] [INFO] [AuthController] User logged in: admin | action=login
[2026-05-09 22:06:26] [INFO] [TaskService] Task id=6 assigned to user id=1 | action=assign
[2026-05-09 22:06:45] [INFO] [TaskService] Task id=6 time logged: 60 min | action=logTime
[2026-05-09 22:10:37] [INFO] [KpiService] Starting scheduled KPI recalculation | action=scheduledRecalculate
[2026-05-09 22:10:37] [INFO] [KpiService] KPI recalculation complete | action=scheduledRecalculate
[2026-05-09 22:15:37] [INFO] [KpiService] Starting scheduled KPI recalculation | action=scheduledRecalculate
[2026-05-09 22:15:37] [INFO] [KpiService] KPI recalculation complete | action=scheduledRecalculate
[2026-05-09 22:18:03] [INFO] [KpiService] Starting scheduled KPI recalculation | action=scheduledRecalculate
[2026-05-09 22:18:03] [INFO] [KpiService] KPI recalculation complete | action=scheduledRecalculate
[2026-05-09 22:18:23] [INFO] [AuthController] User logged in: admin | action=login
[2026-05-09 22:18:41] [INFO] [TaskService] Task id=6 time logged: 0 min | action=logTime
[2026-05-09 22:18:50] [INFO] [TaskService] Task id=6 time logged: 120 min | action=logTime
[2026-05-09 22:20:33] [INFO] [AuthController] User logged in: admin | action=login
[2026-05-09 22:22:10] [INFO] [AuthController] User logged in: admin | action=login
[2026-05-09 22:23:03] [INFO] [KpiService] Starting scheduled KPI recalculation | action=scheduledRecalculate
[2026-05-09 22:23:03] [INFO] [KpiService] KPI recalculation complete | action=scheduledRecalculate
[2026-05-09 22:23:31] [INFO] [AuthController] User logged in: admin | action=login
[2026-05-09 22:24:15] [INFO] [AuthController] User logged in: admin | action=login
[2026-05-09 22:26:22] [INFO] [AuthController] User logged in: admin | action=login
[2026-05-09 22:27:20] [INFO] [AuthController] User logged in: admin | action=login
[2026-05-09 22:27:28] [INFO] [TaskService] Task id=6 completed | action=complete
[2026-05-09 22:28:03] [INFO] [KpiService] Starting scheduled KPI recalculation | action=scheduledRecalculate
[2026-05-09 22:28:03] [INFO] [KpiService] KPI recalculation complete | action=scheduledRecalculate
[2026-05-09 22:33:03] [INFO] [KpiService] Starting scheduled KPI recalculation | action=scheduledRecalculate
[2026-05-09 22:33:03] [INFO] [KpiService] KPI recalculation complete | action=scheduledRecalculate
[2026-05-09 22:34:07] [INFO] [KpiService] Starting scheduled KPI recalculation | action=scheduledRecalculate
[2026-05-09 22:34:08] [INFO] [KpiService] KPI recalculation complete | action=scheduledRecalculate
[2026-05-09 22:34:12] [INFO] [AuthController] User logged in: admin | action=login
[2026-05-10 15:19:09] [INFO] [KpiService] Starting scheduled KPI recalculation | action=scheduledRecalculate
[2026-05-10 15:19:10] [INFO] [KpiService] KPI recalculation complete | action=scheduledRecalculate
[2026-05-10 15:20:40] [INFO] [AuthController] User logged in: admin | action=login
[2026-05-10 15:21:05] [INFO] [SimulationController] Running simulation for model id=4 | action=runSimulation
[2026-05-10 15:21:05] [INFO] [SimulationController] Simulation completed for model id=4 | action=runSimulation
[2026-05-10 15:21:08] [INFO] [SimulationController] Running simulation for model id=4 | action=runSimulation
[2026-05-10 15:21:08] [INFO] [SimulationController] Simulation completed for model id=4 | action=runSimulation
[2026-05-10 15:22:03] [INFO] [ProcessInstanceController] Creating ProcessInstance for model id=4 | action=create
[2026-05-10 15:22:03] [INFO] [ProcessInstanceController] Created ProcessInstance id=4 with 3 tasks for model Test 1 | action=create
[2026-05-10 15:24:09] [INFO] [KpiService] Starting scheduled KPI recalculation | action=scheduledRecalculate
